commodity,season_year,week_number,week_end,season_status,first_published,adjustments,week_total,unit
Soybeans (SAGIS),2019,22,2019-07-26,Final,4583.0,159.0,4742.0,MT
Soybeans (SAGIS),2019,23,2019-08-02,Final,1042.0,-347.0,695.0,MT
Soybeans (SAGIS),2019,24,2019-08-09,Final,1738.0,-24.0,1714.0,MT
Soybeans (SAGIS),2019,25,2019-08-16,Final,2432.0,0.0,2432.0,MT
Soybeans (SAGIS),2019,26,2019-08-23,Final,1866.0,0.0,1866.0,MT
Soybeans (SAGIS),2019,27,2019-08-30,Final,1027.0,1874.0,2901.0,MT
Soybeans (SAGIS),2019,28,2019-09-06,Final,777.0,-246.0,531.0,MT
Soybeans (SAGIS),2019,29,2019-09-13,Final,916.0,0.0,916.0,MT
Soybeans (SAGIS),2019,30,2019-09-20,Final,412.0,0.0,412.0,MT
Soybeans (SAGIS),2019,31,2019-09-27,Final,244.0,3309.0,3553.0,MT
Soybeans (SAGIS),2019,32,2019-10-04,Final,826.0,-372.0,454.0,MT
Soybeans (SAGIS),2019,33,2019-10-11,Final,740.0,0.0,740.0,MT
Soybeans (SAGIS),2019,34,2019-10-18,Final,387.0,0.0,387.0,MT
Soybeans (SAGIS),2019,35,2019-10-25,Final,479.0,1578.0,2057.0,MT
Soybeans (SAGIS),2019,36,2019-11-01,Final,414.0,-300.0,114.0,MT
Soybeans (SAGIS),2019,37,2019-11-08,Final,313.0,0.0,313.0,MT
Soybeans (SAGIS),2019,38,2019-11-15,Final,450.0,8.0,458.0,MT
Soybeans (SAGIS),2019,39,2019-11-22,Final,263.0,0.0,263.0,MT
Soybeans (SAGIS),2019,40,2019-11-29,Final,797.0,-41.0,756.0,MT
Soybeans (SAGIS),2019,41,2019-12-06,Final,206.0,-5.0,201.0,MT
Soybeans (SAGIS),2019,42,2019-12-13,Final,341.0,-86.0,255.0,MT
Soybeans (SAGIS),2019,43,2019-12-20,Final,244.0,0.0,244.0,MT
Soybeans (SAGIS),2019,44,2019-12-27,Final,401.0,508.0,909.0,MT
Soybeans (SAGIS),2019,45,2020-01-03,Final,54.0,-22.0,32.0,MT
Soybeans (SAGIS),2019,46,2020-01-10,Final,697.0,21.0,718.0,MT
Soybeans (SAGIS),2019,47,2020-01-17,Final,1047.0,209.0,1256.0,MT
Soybeans (SAGIS),2019,48,2020-01-24,Final,1053.0,25.0,1078.0,MT
Soybeans (SAGIS),2019,49,2020-01-31,Final,1063.0,1875.0,2938.0,MT
Soybeans (SAGIS),2019,50,2020-02-07,Final,865.0,0.0,865.0,MT
Soybeans (SAGIS),2019,51,2020-02-14,Final,722.0,0.0,722.0,MT
Soybeans (SAGIS),2019,52,2020-02-21,Final,791.0,9.0,800.0,MT
Soybeans (SAGIS),2019,53,2020-02-28,Final,616.0,1260.0,1876.0,MT
Soybeans (SAGIS),2020,1,2020-03-06,Final,905.0,-10.0,895.0,MT
Soybeans (SAGIS),2020,2,2020-03-13,Final,1057.0,0.0,1057.0,MT
Soybeans (SAGIS),2020,3,2020-03-20,Final,2742.0,10.0,2752.0,MT
Soybeans (SAGIS),2020,4,2020-03-27,Final,9996.0,18426.0,28422.0,MT
Soybeans (SAGIS),2020,5,2020-04-03,Final,13995.0,-4509.0,9486.0,MT
Soybeans (SAGIS),2020,6,2020-04-10,Final,24065.0,0.0,24065.0,MT
Soybeans (SAGIS),2020,7,2020-04-17,Final,57893.0,-28.0,57865.0,MT
Soybeans (SAGIS),2020,8,2020-04-24,Final,167142.0,107677.0,274819.0,MT
Soybeans (SAGIS),2020,9,2020-05-01,Final,12948.0,-3844.0,9104.0,MT
Soybeans (SAGIS),2020,10,2020-05-08,Final,221553.0,0.0,221553.0,MT
Soybeans (SAGIS),2020,11,2020-05-15,Final,211529.0,1612.0,213141.0,MT
Soybeans (SAGIS),2020,12,2020-05-22,Final,139153.0,-30.0,139123.0,MT
Soybeans (SAGIS),2020,13,2020-05-29,Final,73919.0,69209.0,143128.0,MT
Soybeans (SAGIS),2020,14,2020-06-05,Final,27244.0,-5138.0,22106.0,MT
Soybeans (SAGIS),2020,15,2020-06-12,Final,11916.0,0.0,11916.0,MT
Soybeans (SAGIS),2020,16,2020-06-19,Final,3735.0,0.0,3735.0,MT
Soybeans (SAGIS),2020,17,2020-06-26,Final,2850.0,17049.0,19899.0,MT
Soybeans (SAGIS),2020,18,2020-07-03,Final,2594.0,-300.0,2294.0,MT
Soybeans (SAGIS),2020,19,2020-07-10,Final,1220.0,2.0,1222.0,MT
Soybeans (SAGIS),2020,20,2020-07-17,Final,1062.0,38.0,1100.0,MT
Soybeans (SAGIS),2020,21,2020-07-24,Final,1767.0,0.0,1767.0,MT
Soybeans (SAGIS),2020,22,2020-07-31,Final,1011.0,-242.0,769.0,MT
Soybeans (SAGIS),2020,23,2020-08-07,Final,1207.0,74.0,1281.0,MT
Soybeans (SAGIS),2020,24,2020-08-14,Final,908.0,161.0,1069.0,MT
Soybeans (SAGIS),2020,25,2020-08-21,Final,1361.0,0.0,1361.0,MT
Soybeans (SAGIS),2020,26,2020-08-28,Final,1075.0,1279.0,2354.0,MT
Soybeans (SAGIS),2020,27,2020-09-04,Final,550.0,-67.0,483.0,MT
Soybeans (SAGIS),2020,28,2020-09-11,Final,1060.0,0.0,1060.0,MT
Soybeans (SAGIS),2020,29,2020-09-18,Final,1413.0,0.0,1413.0,MT
Soybeans (SAGIS),2020,30,2020-09-25,Final,478.0,2830.0,3308.0,MT
Soybeans (SAGIS),2020,31,2020-10-02,Final,608.0,-283.0,325.0,MT
Soybeans (SAGIS),2020,32,2020-10-09,Final,918.0,0.0,918.0,MT
Soybeans (SAGIS),2020,33,2020-10-16,Final,714.0,11.0,725.0,MT
Soybeans (SAGIS),2020,34,2020-10-23,Final,260.0,41.0,301.0,MT
Soybeans (SAGIS),2020,35,2020-10-30,Final,175.0,276.0,451.0,MT
Soybeans (SAGIS),2020,36,2020-11-06,Final,290.0,0.0,290.0,MT
Soybeans (SAGIS),2020,37,2020-11-13,Final,321.0,0.0,321.0,MT
Soybeans (SAGIS),2020,38,2020-11-20,Final,190.0,0.0,190.0,MT
Soybeans (SAGIS),2020,39,2020-11-27,Final,318.0,1111.0,1429.0,MT
Soybeans (SAGIS),2020,40,2020-12-04,Final,677.0,-187.0,490.0,MT
Soybeans (SAGIS),2020,41,2020-12-11,Final,522.0,0.0,522.0,MT
Soybeans (SAGIS),2020,42,2020-12-18,Final,923.0,0.0,923.0,MT
Soybeans (SAGIS),2020,43,2020-12-25,Final,451.0,-198.0,253.0,MT
Soybeans (SAGIS),2020,44,2021-01-01,Final,106.0,-57.0,49.0,MT
Soybeans (SAGIS),2020,45,2021-01-08,Final,1302.0,0.0,1302.0,MT
Soybeans (SAGIS),2020,46,2021-01-15,Final,1660.0,7.0,1667.0,MT
Soybeans (SAGIS),2020,47,2021-01-22,Final,1407.0,0.0,1407.0,MT
Soybeans (SAGIS),2020,48,2021-01-29,Final,839.0,1062.0,1901.0,MT
Soybeans (SAGIS),2020,49,2021-02-05,Final,738.0,-35.0,703.0,MT
Soybeans (SAGIS),2020,50,2021-02-12,Final,904.0,0.0,904.0,MT
Soybeans (SAGIS),2020,51,2021-02-19,Final,414.0,15.0,429.0,MT
Soybeans (SAGIS),2020,52,2021-02-26,Final,302.0,695.0,997.0,MT
Soybeans (SAGIS),2021,1,2021-03-05,Final,1185.0,-12.0,1173.0,MT
Soybeans (SAGIS),2021,2,2021-03-12,Final,9522.0,0.0,9522.0,MT
Soybeans (SAGIS),2021,3,2021-03-19,Final,31395.0,0.0,31395.0,MT
Soybeans (SAGIS),2021,4,2021-03-26,Final,30033.0,68408.0,98441.0,MT
Soybeans (SAGIS),2021,5,2021-04-02,Final,27594.0,10649.0,38243.0,MT
Soybeans (SAGIS),2021,6,2021-04-09,Final,188249.0,924.0,189173.0,MT
Soybeans (SAGIS),2021,7,2021-04-16,Final,395663.0,3375.0,399038.0,MT
Soybeans (SAGIS),2021,8,2021-04-23,Final,341752.0,2146.0,343898.0,MT
Soybeans (SAGIS),2021,9,2021-04-30,Final,216566.0,106026.0,322592.0,MT
Soybeans (SAGIS),2021,10,2021-05-07,Final,116463.0,158.0,116621.0,MT
Soybeans (SAGIS),2021,11,2021-05-14,Final,92235.0,0.0,92235.0,MT
Soybeans (SAGIS),2021,12,2021-05-21,Final,51480.0,0.0,51480.0,MT
Soybeans (SAGIS),2021,13,2021-05-28,Final,17889.0,61662.0,79551.0,MT
Soybeans (SAGIS),2021,14,2021-06-04,Final,5355.0,-2160.0,3195.0,MT
Soybeans (SAGIS),2021,15,2021-06-11,Final,3297.0,3.0,3300.0,MT
Soybeans (SAGIS),2021,16,2021-06-18,Final,2648.0,0.0,2648.0,MT
Soybeans (SAGIS),2021,17,2021-06-25,Final,4490.0,14315.0,18805.0,MT
Soybeans (SAGIS),2021,18,2021-07-02,Final,2759.0,-1172.0,1587.0,MT
Soybeans (SAGIS),2021,19,2021-07-09,Final,2118.0,107.0,2225.0,MT
Soybeans (SAGIS),2021,20,2021-07-16,Final,1018.0,0.0,1018.0,MT
Soybeans (SAGIS),2021,21,2021-07-23,Final,1150.0,0.0,1150.0,MT
Soybeans (SAGIS),2021,22,2021-07-30,Final,1378.0,1820.0,3198.0,MT
Soybeans (SAGIS),2021,23,2021-08-06,Final,822.0,0.0,822.0,MT
Soybeans (SAGIS),2021,24,2021-08-13,Final,1517.0,0.0,1517.0,MT
Soybeans (SAGIS),2021,25,2021-08-20,Final,1247.0,0.0,1247.0,MT
Soybeans (SAGIS),2021,26,2021-08-27,Final,1867.0,4186.0,6053.0,MT
Soybeans (SAGIS),2021,27,2021-09-03,Final,1457.0,-713.0,744.0,MT
Soybeans (SAGIS),2021,28,2021-09-10,Final,1323.0,0.0,1323.0,MT
Soybeans (SAGIS),2021,29,2021-09-17,Final,1353.0,0.0,1353.0,MT
Soybeans (SAGIS),2021,30,2021-09-24,Final,1017.0,3963.0,4980.0,MT
Soybeans (SAGIS),2021,31,2021-10-01,Final,948.0,-889.0,59.0,MT
Soybeans (SAGIS),2021,32,2021-10-08,Final,1137.0,0.0,1137.0,MT
Soybeans (SAGIS),2021,33,2021-10-15,Final,485.0,21.0,506.0,MT
Soybeans (SAGIS),2021,34,2021-10-22,Final,760.0,0.0,760.0,MT
Soybeans (SAGIS),2021,35,2021-10-29,Final,746.0,2437.0,3183.0,MT
Soybeans (SAGIS),2021,36,2021-11-05,Final,327.0,-106.0,221.0,MT
Soybeans (SAGIS),2021,37,2021-11-12,Final,248.0,0.0,248.0,MT
Soybeans (SAGIS),2021,38,2021-11-19,Final,627.0,0.0,627.0,MT
Soybeans (SAGIS),2021,39,2021-11-26,Final,1353.0,3661.0,5014.0,MT
Soybeans (SAGIS),2021,40,2021-12-03,Final,941.0,-742.0,199.0,MT
Soybeans (SAGIS),2021,41,2021-12-10,Final,978.0,11.0,989.0,MT
Soybeans (SAGIS),2021,42,2021-12-17,Final,1126.0,0.0,1126.0,MT
Soybeans (SAGIS),2021,43,2021-12-24,Final,1373.0,0.0,1373.0,MT
Soybeans (SAGIS),2021,44,2021-12-31,Final,841.0,4052.0,4893.0,MT
Soybeans (SAGIS),2021,45,2022-01-07,Final,1030.0,4.0,1034.0,MT
Soybeans (SAGIS),2021,46,2022-01-14,Final,2103.0,0.0,2103.0,MT
Soybeans (SAGIS),2021,47,2022-01-21,Final,1356.0,0.0,1356.0,MT
Soybeans (SAGIS),2021,48,2022-01-28,Final,1590.0,2262.0,3852.0,MT
Soybeans (SAGIS),2021,49,2022-02-04,Final,940.0,-219.0,721.0,MT
Soybeans (SAGIS),2021,50,2022-02-11,Final,2739.0,0.0,2739.0,MT
Soybeans (SAGIS),2021,51,2022-02-18,Final,1466.0,0.0,1466.0,MT
Soybeans (SAGIS),2021,52,2022-02-25,Final,1575.0,4773.0,6348.0,MT
Soybeans (SAGIS),2022,1,2022-03-04,Final,1005.0,-83.0,922.0,MT
Soybeans (SAGIS),2022,2,2022-03-11,Final,2165.0,0.0,2165.0,MT
Soybeans (SAGIS),2022,3,2022-03-18,Final,4202.0,0.0,4202.0,MT
Soybeans (SAGIS),2022,4,2022-03-25,Final,80023.0,0.0,80023.0,MT
Soybeans (SAGIS),2022,5,2022-04-01,Final,13581.0,0.0,13581.0,MT
Soybeans (SAGIS),2022,6,2022-04-08,Final,48776.0,0.0,48776.0,MT
Soybeans (SAGIS),2022,7,2022-04-15,Final,22914.0,0.0,22914.0,MT
Soybeans (SAGIS),2022,8,2022-04-22,Final,66460.0,0.0,66460.0,MT
Soybeans (SAGIS),2022,9,2022-04-29,Final,233135.0,8.0,233143.0,MT
Soybeans (SAGIS),2022,10,2022-05-06,Final,342478.0,0.0,342478.0,MT
Soybeans (SAGIS),2022,11,2022-05-13,Final,360027.0,850.0,360877.0,MT
Soybeans (SAGIS),2022,12,2022-05-20,Final,263492.0,826.0,264318.0,MT
Soybeans (SAGIS),2022,13,2022-05-27,Final,317760.0,5987.0,323747.0,MT
Soybeans (SAGIS),2022,14,2022-06-03,Final,65408.0,39636.0,105044.0,MT
Soybeans (SAGIS),2022,15,2022-06-10,Final,83085.0,15008.0,98093.0,MT
Soybeans (SAGIS),2022,16,2022-06-17,Final,41873.0,12778.0,54651.0,MT
Soybeans (SAGIS),2022,17,2022-06-24,Final,18645.0,17011.0,35656.0,MT
Soybeans (SAGIS),2022,18,2022-07-01,Final,8268.0,4620.0,12888.0,MT
Soybeans (SAGIS),2022,19,2022-07-08,Final,9136.0,-454.0,8682.0,MT
Soybeans (SAGIS),2022,20,2022-07-15,Final,6706.0,-32.0,6674.0,MT
Soybeans (SAGIS),2022,21,2022-07-22,Final,4551.0,-199.0,4352.0,MT
Soybeans (SAGIS),2022,22,2022-07-29,Final,6592.0,2368.0,8960.0,MT
Soybeans (SAGIS),2022,23,2022-08-05,Final,3684.0,584.0,4268.0,MT
Soybeans (SAGIS),2022,24,2022-08-12,Final,2735.0,539.0,3274.0,MT
Soybeans (SAGIS),2022,25,2022-08-19,Final,2381.0,536.0,2917.0,MT
Soybeans (SAGIS),2022,26,2022-08-26,Final,2401.0,3551.0,5952.0,MT
Soybeans (SAGIS),2022,27,2022-09-02,Final,3467.0,1397.0,4864.0,MT
Soybeans (SAGIS),2022,28,2022-09-09,Final,4417.0,564.0,4981.0,MT
Soybeans (SAGIS),2022,29,2022-09-16,Final,2900.0,1255.0,4155.0,MT
Soybeans (SAGIS),2022,30,2022-09-23,Final,2726.0,213.0,2939.0,MT
Soybeans (SAGIS),2022,31,2022-09-30,Final,3123.0,389.0,3512.0,MT
Soybeans (SAGIS),2022,32,2022-10-07,Final,1757.0,137.0,1894.0,MT
Soybeans (SAGIS),2022,33,2022-10-14,Final,1930.0,218.0,2148.0,MT
Soybeans (SAGIS),2022,34,2022-10-21,Final,1178.0,358.0,1536.0,MT
Soybeans (SAGIS),2022,35,2022-10-28,Final,1834.0,3105.0,4939.0,MT
Soybeans (SAGIS),2022,36,2022-11-04,Final,1224.0,1377.0,2601.0,MT
Soybeans (SAGIS),2022,37,2022-11-11,Final,3280.0,-1610.0,1670.0,MT
Soybeans (SAGIS),2022,38,2022-11-18,Final,876.0,655.0,1531.0,MT
Soybeans (SAGIS),2022,39,2022-11-25,Final,374.0,1138.0,1512.0,MT
Soybeans (SAGIS),2022,40,2022-12-02,Final,1060.0,-97.0,963.0,MT
Soybeans (SAGIS),2022,41,2022-12-09,Final,1177.0,598.0,1775.0,MT
Soybeans (SAGIS),2022,42,2022-12-16,Final,1674.0,1188.0,2862.0,MT
Soybeans (SAGIS),2022,43,2022-12-23,Final,1708.0,1034.0,2742.0,MT
Soybeans (SAGIS),2022,44,2022-12-30,Final,246.0,919.0,1165.0,MT
Soybeans (SAGIS),2022,45,2023-01-06,Final,871.0,641.0,1512.0,MT
Soybeans (SAGIS),2022,46,2023-01-13,Final,2962.0,462.0,3424.0,MT
Soybeans (SAGIS),2022,47,2023-01-20,Final,4306.0,-568.0,3738.0,MT
Soybeans (SAGIS),2022,48,2023-01-27,Final,4264.0,1261.0,5525.0,MT
Soybeans (SAGIS),2022,49,2023-02-03,Final,3057.0,-422.0,2635.0,MT
Soybeans (SAGIS),2022,50,2023-02-10,Final,2466.0,-851.0,1615.0,MT
Soybeans (SAGIS),2022,51,2023-02-17,Final,1355.0,87.0,1442.0,MT
Soybeans (SAGIS),2022,52,2023-02-24,Final,2496.0,1518.0,4014.0,MT
Soybeans (SAGIS),2023,1,2023-03-03,Final,578.0,589.0,1167.0,MT
Soybeans (SAGIS),2023,2,2023-03-10,Final,1998.0,1003.0,3001.0,MT
Soybeans (SAGIS),2023,3,2023-03-17,Final,3948.0,3544.0,7492.0,MT
Soybeans (SAGIS),2023,4,2023-03-24,Final,12191.0,6075.0,18266.0,MT
Soybeans (SAGIS),2023,5,2023-03-31,Final,27001.0,6814.0,33815.0,MT
Soybeans (SAGIS),2023,6,2023-04-07,Final,60046.0,3565.0,63611.0,MT
Soybeans (SAGIS),2023,7,2023-04-14,Final,193227.0,4007.0,197234.0,MT
Soybeans (SAGIS),2023,8,2023-04-21,Final,481551.0,20758.0,502309.0,MT
Soybeans (SAGIS),2023,9,2023-04-28,Final,553921.0,25723.0,579644.0,MT
Soybeans (SAGIS),2023,10,2023-05-05,Final,351276.0,10468.0,361744.0,MT
Soybeans (SAGIS),2023,11,2023-05-12,Final,170907.0,3019.0,173926.0,MT
Soybeans (SAGIS),2023,12,2023-05-19,Final,159706.0,21024.0,180730.0,MT
Soybeans (SAGIS),2023,13,2023-05-26,Final,233386.0,15902.0,249288.0,MT
Soybeans (SAGIS),2023,14,2023-06-02,Final,88279.0,2336.0,90615.0,MT
Soybeans (SAGIS),2023,15,2023-06-09,Final,62311.0,-1367.0,60944.0,MT
Soybeans (SAGIS),2023,16,2023-06-16,Final,29736.0,3057.0,32793.0,MT
Soybeans (SAGIS),2023,17,2023-06-23,Final,18877.0,8.0,18885.0,MT
Soybeans (SAGIS),2023,18,2023-06-30,Final,11264.0,778.0,12042.0,MT
Soybeans (SAGIS),2023,19,2023-07-07,Final,11459.0,-2115.0,9344.0,MT
Soybeans (SAGIS),2023,20,2023-07-14,Final,7959.0,-541.0,7418.0,MT
Soybeans (SAGIS),2023,21,2023-07-21,Final,7252.0,-2410.0,4842.0,MT
Soybeans (SAGIS),2023,22,2023-07-28,Final,6366.0,-880.0,5486.0,MT
Soybeans (SAGIS),2023,23,2023-08-04,Final,7472.0,-551.0,6921.0,MT
Soybeans (SAGIS),2023,24,2023-08-11,Final,3247.0,555.0,3802.0,MT
Soybeans (SAGIS),2023,25,2023-08-18,Final,3182.0,1065.0,4247.0,MT
Soybeans (SAGIS),2023,26,2023-08-25,Final,5158.0,322.0,5480.0,MT
Soybeans (SAGIS),2023,27,2023-09-01,Final,6154.0,195.0,6349.0,MT
Soybeans (SAGIS),2023,28,2023-09-08,Final,6605.0,2386.0,8991.0,MT
Soybeans (SAGIS),2023,29,2023-09-15,Final,7903.0,1584.0,9487.0,MT
Soybeans (SAGIS),2023,30,2023-09-22,Final,3161.0,622.0,3783.0,MT
Soybeans (SAGIS),2023,31,2023-09-29,Final,2995.0,1045.0,4040.0,MT
Soybeans (SAGIS),2023,32,2023-10-06,Final,3343.0,216.0,3559.0,MT
Soybeans (SAGIS),2023,33,2023-10-13,Final,4189.0,-1071.0,3118.0,MT
Soybeans (SAGIS),2023,34,2023-10-20,Final,5597.0,-2894.0,2703.0,MT
Soybeans (SAGIS),2023,35,2023-10-27,Final,3842.0,-74.0,3768.0,MT
Soybeans (SAGIS),2023,36,2023-11-03,Final,2450.0,447.0,2897.0,MT
Soybeans (SAGIS),2023,37,2023-11-10,Final,1114.0,114.0,1228.0,MT
Soybeans (SAGIS),2023,38,2023-11-17,Final,1255.0,144.0,1399.0,MT
Soybeans (SAGIS),2023,39,2023-11-24,Final,1421.0,878.0,2299.0,MT
Soybeans (SAGIS),2023,40,2023-12-01,Final,2240.0,553.0,2793.0,MT
Soybeans (SAGIS),2023,41,2023-12-08,Final,2389.0,456.0,2845.0,MT
Soybeans (SAGIS),2023,42,2023-12-15,Final,1372.0,117.0,1489.0,MT
Soybeans (SAGIS),2023,43,2023-12-22,Final,1422.0,174.0,1596.0,MT
Soybeans (SAGIS),2023,44,2023-12-29,Final,191.0,738.0,929.0,MT
Soybeans (SAGIS),2023,45,2024-01-05,Final,1473.0,921.0,2394.0,MT
Soybeans (SAGIS),2023,46,2024-01-12,Final,2181.0,197.0,2378.0,MT
Soybeans (SAGIS),2023,47,2024-01-19,Final,3135.0,-10.0,3125.0,MT
Soybeans (SAGIS),2023,48,2024-01-26,Final,2283.0,312.0,2595.0,MT
Soybeans (SAGIS),2023,49,2024-02-02,Final,2802.0,825.0,3627.0,MT
Soybeans (SAGIS),2023,50,2024-02-09,Final,1942.0,1097.0,3039.0,MT
Soybeans (SAGIS),2023,51,2024-02-16,Final,3879.0,1790.0,5669.0,MT
Soybeans (SAGIS),2023,52,2024-02-23,Final,2605.0,2638.0,5243.0,MT
Soybeans (SAGIS),2024,1,2024-03-01,Final,4719.0,-1232.0,3487.0,MT
Soybeans (SAGIS),2024,2,2024-03-08,Final,11039.0,656.0,11695.0,MT
Soybeans (SAGIS),2024,3,2024-03-15,Final,52188.0,220.0,52408.0,MT
