commodity,year,attribute,value,unit,reference_period
CORN,2023/24,Ending Stocks,1763.0,Million Bushels,2026-02-15
CORN,2023/24,Ending Stocks,1763.0,Million Bushels,2026-03-15
CORN,2023/24,Ending Stocks,1763.0,Million Bushels,2026-04-15
CORN,2023/24,Ethanol & by-products,5478.0,Million Bushels,2025-08-15
CORN,2023/24,Ethanol & by-products,5489.0,Million Bushels,2025-09-15
CORN,2023/24,Ethanol & by-products,5489.0,Million Bushels,2025-11-15
CORN,2023/24,Ethanol & by-products,5489.0,Million Bushels,2025-12-15
CORN,2023/24,Ethanol & by-products,5489.0,Million Bushels,2026-01-15
CORN,2023/24,Ethanol & by-products,5489.0,Million Bushels,2026-02-15
CORN,2023/24,Ethanol & by-products,5489.0,Million Bushels,2026-03-15
CORN,2023/24,Ethanol & by-products,5489.0,Million Bushels,2026-04-15
CORN,2023/24,Exports,2255.0,Million Bushels,2025-08-15
CORN,2023/24,Exports,2255.0,Million Bushels,2025-09-15
CORN,2023/24,Exports,2255.0,Million Bushels,2025-11-15
CORN,2023/24,Exports,2255.0,Million Bushels,2025-12-15
CORN,2023/24,Exports,2255.0,Million Bushels,2026-01-15
CORN,2023/24,Exports,2255.0,Million Bushels,2026-02-15
CORN,2023/24,Exports,2255.0,Million Bushels,2026-03-15
CORN,2023/24,Exports,2255.0,Million Bushels,2026-04-15
CORN,2023/24,Feed and Residual,5842.0,Million Bushels,2025-08-15
CORN,2023/24,Feed and Residual,5832.0,Million Bushels,2025-09-15
CORN,2023/24,Feed and Residual,5832.0,Million Bushels,2025-11-15
CORN,2023/24,Feed and Residual,5832.0,Million Bushels,2025-12-15
CORN,2023/24,Feed and Residual,5831.0,Million Bushels,2026-01-15
CORN,2023/24,Feed and Residual,5831.0,Million Bushels,2026-02-15
CORN,2023/24,Feed and Residual,5831.0,Million Bushels,2026-03-15
CORN,2023/24,Feed and Residual,5831.0,Million Bushels,2026-04-15
CORN,2023/24,"Food, Seed & Industrial",6869.0,Million Bushels,2025-08-15
CORN,2023/24,"Food, Seed & Industrial",6879.0,Million Bushels,2025-09-15
CORN,2023/24,"Food, Seed & Industrial",6879.0,Million Bushels,2025-11-15
CORN,2023/24,"Food, Seed & Industrial",6879.0,Million Bushels,2025-12-15
CORN,2023/24,"Food, Seed & Industrial",6880.0,Million Bushels,2026-01-15
CORN,2023/24,"Food, Seed & Industrial",6880.0,Million Bushels,2026-02-15
CORN,2023/24,"Food, Seed & Industrial",6880.0,Million Bushels,2026-03-15
CORN,2023/24,"Food, Seed & Industrial",6880.0,Million Bushels,2026-04-15
CORN,2023/24,Imports,28.0,Million Bushels,2025-08-15
CORN,2023/24,Imports,28.0,Million Bushels,2025-09-15
CORN,2023/24,Imports,28.0,Million Bushels,2025-11-15
CORN,2023/24,Imports,28.0,Million Bushels,2025-12-15
CORN,2023/24,Imports,28.0,Million Bushels,2026-01-15
CORN,2023/24,Imports,28.0,Million Bushels,2026-02-15
CORN,2023/24,Imports,28.0,Million Bushels,2026-03-15
CORN,2023/24,Imports,28.0,Million Bushels,2026-04-15
CORN,2023/24,Production,15341.0,Million Bushels,2025-08-15
CORN,2023/24,Production,15341.0,Million Bushels,2025-09-15
CORN,2023/24,Production,15341.0,Million Bushels,2025-11-15
CORN,2023/24,Production,15341.0,Million Bushels,2025-12-15
CORN,2023/24,Production,15341.0,Million Bushels,2026-01-15
CORN,2023/24,Production,15341.0,Million Bushels,2026-02-15
CORN,2023/24,Production,15341.0,Million Bushels,2026-03-15
CORN,2023/24,Production,15341.0,Million Bushels,2026-04-15
CORN,2023/24,"Supply, Total",16729.0,Million Bushels,2025-08-15
CORN,2023/24,"Supply, Total",16729.0,Million Bushels,2025-09-15
CORN,2023/24,"Supply, Total",16729.0,Million Bushels,2025-11-15
CORN,2023/24,"Supply, Total",16729.0,Million Bushels,2025-12-15
CORN,2023/24,"Supply, Total",16729.0,Million Bushels,2026-01-15
CORN,2023/24,"Supply, Total",16729.0,Million Bushels,2026-02-15
CORN,2023/24,"Supply, Total",16729.0,Million Bushels,2026-03-15
CORN,2023/24,"Supply, Total",16729.0,Million Bushels,2026-04-15
CORN,2023/24,"Use, Total",14966.0,Million Bushels,2025-08-15
CORN,2023/24,"Use, Total",14966.0,Million Bushels,2025-09-15
CORN,2023/24,"Use, Total",14966.0,Million Bushels,2025-11-15
CORN,2023/24,"Use, Total",14966.0,Million Bushels,2025-12-15
CORN,2023/24,"Use, Total",14966.0,Million Bushels,2026-01-15
CORN,2023/24,"Use, Total",14966.0,Million Bushels,2026-02-15
CORN,2023/24,"Use, Total",14966.0,Million Bushels,2026-03-15
CORN,2023/24,"Use, Total",14966.0,Million Bushels,2026-04-15
CORN,2023/24,Yield per Harvested Acre,177.3,Bushels,2025-08-15
CORN,2023/24,Yield per Harvested Acre,177.3,Bushels,2025-09-15
CORN,2023/24,Yield per Harvested Acre,177.3,Bushels,2025-11-15
CORN,2023/24,Yield per Harvested Acre,177.3,Bushels,2025-12-15
CORN,2023/24,Yield per Harvested Acre,177.3,Bushels,2026-01-15
CORN,2023/24,Yield per Harvested Acre,177.3,Bushels,2026-02-15
CORN,2023/24,Yield per Harvested Acre,177.3,Bushels,2026-03-15
CORN,2023/24,Yield per Harvested Acre,177.3,Bushels,2026-04-15
CORN,2024/25,Area Harvested,82.9,Million Acres,2025-08-15
CORN,2024/25,Area Harvested,82.9,Million Acres,2025-09-15
CORN,2024/25,Area Harvested,83.0,Million Acres,2025-11-15
CORN,2024/25,Area Harvested,83.0,Million Acres,2025-12-15
CORN,2024/25,Area Harvested,83.0,Million Acres,2026-01-15
CORN,2024/25,Area Harvested,83.0,Million Acres,2026-02-15
CORN,2024/25,Area Harvested,83.0,Million Acres,2026-03-15
CORN,2024/25,Area Harvested,83.0,Million Acres,2026-04-15
CORN,2024/25,Area Harvested,83.0,Million Acres,2026-05-15
CORN,2024/25,Area Harvested,83.0,Million Acres,2026-06-15
CORN,2024/25,Area Harvested,83.0,Million Acres,2026-07-15
CORN,2024/25,Area Planted,90.6,Million Acres,2025-08-15
CORN,2024/25,Area Planted,90.6,Million Acres,2025-09-15
CORN,2024/25,Area Planted,90.9,Million Acres,2025-11-15
CORN,2024/25,Area Planted,90.9,Million Acres,2025-12-15
CORN,2024/25,Area Planted,90.9,Million Acres,2026-01-15
CORN,2024/25,Area Planted,90.9,Million Acres,2026-02-15
CORN,2024/25,Area Planted,90.9,Million Acres,2026-03-15
CORN,2024/25,Area Planted,90.9,Million Acres,2026-04-15
CORN,2024/25,Area Planted,90.9,Million Acres,2026-05-15
CORN,2024/25,Area Planted,90.9,Million Acres,2026-06-15
CORN,2024/25,Area Planted,90.9,Million Acres,2026-07-15
CORN,2024/25,Avg. Farm Price ($/bu),4.3,$/bu,2025-08-15
CORN,2024/25,Avg. Farm Price ($/bu),4.3,$/bu,2025-09-15
CORN,2024/25,Avg. Farm Price ($/bu),4.24,$/bu,2025-11-15
CORN,2024/25,Avg. Farm Price ($/bu),4.24,$/bu,2025-12-15
CORN,2024/25,Avg. Farm Price ($/bu),4.24,$/bu,2026-01-15
CORN,2024/25,Avg. Farm Price ($/bu),4.24,$/bu,2026-02-15
CORN,2024/25,Avg. Farm Price ($/bu),4.24,$/bu,2026-03-15
CORN,2024/25,Avg. Farm Price ($/bu),4.24,$/bu,2026-04-15
CORN,2024/25,Avg. Farm Price ($/bu),4.24,$/bu,2026-05-15
CORN,2024/25,Avg. Farm Price ($/bu),4.24,$/bu,2026-06-15
CORN,2024/25,Avg. Farm Price ($/bu),4.24,$/bu,2026-07-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2025-08-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2025-09-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2025-11-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2025-12-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2026-01-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2026-02-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2026-03-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2026-04-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2026-05-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2026-06-15
CORN,2024/25,Beginning Stocks,1763.0,Million Bushels,2026-07-15
CORN,2024/25,"Domestic, Total",12530.0,Million Bushels,2025-08-15
CORN,2024/25,"Domestic, Total",12495.0,Million Bushels,2025-09-15
CORN,2024/25,"Domestic, Total",12314.0,Million Bushels,2025-11-15
CORN,2024/25,"Domestic, Total",12287.0,Million Bushels,2025-12-15
CORN,2024/25,"Domestic, Total",12267.0,Million Bushels,2026-01-15
CORN,2024/25,"Domestic, Total",12267.0,Million Bushels,2026-02-15
CORN,2024/25,"Domestic, Total",12267.0,Million Bushels,2026-03-15
CORN,2024/25,"Domestic, Total",12267.0,Million Bushels,2026-04-15
CORN,2024/25,"Domestic, Total",12267.0,Million Bushels,2026-05-15
CORN,2024/25,"Domestic, Total",12267.0,Million Bushels,2026-06-15
CORN,2024/25,"Domestic, Total",12253.0,Million Bushels,2026-07-15
CORN,2024/25,Ending Stocks,1305.0,Million Bushels,2025-08-15
CORN,2024/25,Ending Stocks,1325.0,Million Bushels,2025-09-15
CORN,2024/25,Ending Stocks,1532.0,Million Bushels,2025-11-15
CORN,2024/25,Ending Stocks,1532.0,Million Bushels,2025-12-15
CORN,2024/25,Ending Stocks,1551.0,Million Bushels,2026-01-15
CORN,2024/25,Ending Stocks,1551.0,Million Bushels,2026-02-15
CORN,2024/25,Ending Stocks,1551.0,Million Bushels,2026-03-15
CORN,2024/25,Ending Stocks,1551.0,Million Bushels,2026-04-15
CORN,2024/25,Ending Stocks,1551.0,Million Bushels,2026-05-15
CORN,2024/25,Ending Stocks,1551.0,Million Bushels,2026-06-15
CORN,2024/25,Ending Stocks,1551.0,Million Bushels,2026-07-15
CORN,2024/25,Ethanol & by-products,5470.0,Million Bushels,2025-08-15
CORN,2024/25,Ethanol & by-products,5435.0,Million Bushels,2025-09-15
CORN,2024/25,Ethanol & by-products,5436.0,Million Bushels,2025-11-15
CORN,2024/25,Ethanol & by-products,5436.0,Million Bushels,2025-12-15
CORN,2024/25,Ethanol & by-products,5436.0,Million Bushels,2026-01-15
CORN,2024/25,Ethanol & by-products,5436.0,Million Bushels,2026-02-15
CORN,2024/25,Ethanol & by-products,5436.0,Million Bushels,2026-03-15
CORN,2024/25,Ethanol & by-products,5436.0,Million Bushels,2026-04-15
CORN,2024/25,Ethanol & by-products,5436.0,Million Bushels,2026-05-15
CORN,2024/25,Ethanol & by-products,5436.0,Million Bushels,2026-06-15
CORN,2024/25,Ethanol & by-products,5436.0,Million Bushels,2026-07-15
CORN,2024/25,Exports,2820.0,Million Bushels,2025-08-15
CORN,2024/25,Exports,2830.0,Million Bushels,2025-09-15
CORN,2024/25,Exports,2830.0,Million Bushels,2025-11-15
CORN,2024/25,Exports,2858.0,Million Bushels,2025-12-15
CORN,2024/25,Exports,2858.0,Million Bushels,2026-01-15
CORN,2024/25,Exports,2858.0,Million Bushels,2026-02-15
CORN,2024/25,Exports,2858.0,Million Bushels,2026-03-15
CORN,2024/25,Exports,2858.0,Million Bushels,2026-04-15
CORN,2024/25,Exports,2858.0,Million Bushels,2026-05-15
CORN,2024/25,Exports,2858.0,Million Bushels,2026-06-15
CORN,2024/25,Exports,2873.0,Million Bushels,2026-07-15
CORN,2024/25,Feed and Residual,5675.0,Million Bushels,2025-08-15
CORN,2024/25,Feed and Residual,5675.0,Million Bushels,2025-09-15
CORN,2024/25,Feed and Residual,5492.0,Million Bushels,2025-11-15
CORN,2024/25,Feed and Residual,5466.0,Million Bushels,2025-12-15
CORN,2024/25,Feed and Residual,5454.0,Million Bushels,2026-01-15
CORN,2024/25,Feed and Residual,5454.0,Million Bushels,2026-02-15
CORN,2024/25,Feed and Residual,5454.0,Million Bushels,2026-03-15
CORN,2024/25,Feed and Residual,5454.0,Million Bushels,2026-04-15
CORN,2024/25,Feed and Residual,5454.0,Million Bushels,2026-05-15
CORN,2024/25,Feed and Residual,5454.0,Million Bushels,2026-06-15
CORN,2024/25,Feed and Residual,5438.0,Million Bushels,2026-07-15
CORN,2024/25,"Food, Seed & Industrial",6855.0,Million Bushels,2025-08-15
CORN,2024/25,"Food, Seed & Industrial",6820.0,Million Bushels,2025-09-15
CORN,2024/25,"Food, Seed & Industrial",6821.0,Million Bushels,2025-11-15
CORN,2024/25,"Food, Seed & Industrial",6821.0,Million Bushels,2025-12-15
CORN,2024/25,"Food, Seed & Industrial",6813.0,Million Bushels,2026-01-15
CORN,2024/25,"Food, Seed & Industrial",6813.0,Million Bushels,2026-02-15
CORN,2024/25,"Food, Seed & Industrial",6813.0,Million Bushels,2026-03-15
CORN,2024/25,"Food, Seed & Industrial",6813.0,Million Bushels,2026-04-15
CORN,2024/25,"Food, Seed & Industrial",6814.0,Million Bushels,2026-05-15
CORN,2024/25,"Food, Seed & Industrial",6814.0,Million Bushels,2026-06-15
CORN,2024/25,"Food, Seed & Industrial",6815.0,Million Bushels,2026-07-15
CORN,2024/25,Imports,25.0,Million Bushels,2025-08-15
CORN,2024/25,Imports,20.0,Million Bushels,2025-09-15
CORN,2024/25,Imports,20.0,Million Bushels,2025-11-15
CORN,2024/25,Imports,22.0,Million Bushels,2025-12-15
CORN,2024/25,Imports,22.0,Million Bushels,2026-01-15
CORN,2024/25,Imports,22.0,Million Bushels,2026-02-15
CORN,2024/25,Imports,22.0,Million Bushels,2026-03-15
CORN,2024/25,Imports,22.0,Million Bushels,2026-04-15
CORN,2024/25,Imports,22.0,Million Bushels,2026-05-15
CORN,2024/25,Imports,22.0,Million Bushels,2026-06-15
CORN,2024/25,Imports,22.0,Million Bushels,2026-07-15
CORN,2024/25,Production,14867.0,Million Bushels,2025-08-15
CORN,2024/25,Production,14867.0,Million Bushels,2025-09-15
CORN,2024/25,Production,14892.0,Million Bushels,2025-11-15
CORN,2024/25,Production,14892.0,Million Bushels,2025-12-15
CORN,2024/25,Production,14892.0,Million Bushels,2026-01-15
CORN,2024/25,Production,14892.0,Million Bushels,2026-02-15
CORN,2024/25,Production,14892.0,Million Bushels,2026-03-15
CORN,2024/25,Production,14892.0,Million Bushels,2026-04-15
CORN,2024/25,Production,14892.0,Million Bushels,2026-05-15
CORN,2024/25,Production,14892.0,Million Bushels,2026-06-15
CORN,2024/25,Production,14892.0,Million Bushels,2026-07-15
CORN,2024/25,"Supply, Total",16655.0,Million Bushels,2025-08-15
CORN,2024/25,"Supply, Total",16650.0,Million Bushels,2025-09-15
CORN,2024/25,"Supply, Total",16675.0,Million Bushels,2025-11-15
CORN,2024/25,"Supply, Total",16677.0,Million Bushels,2025-12-15
CORN,2024/25,"Supply, Total",16677.0,Million Bushels,2026-01-15
CORN,2024/25,"Supply, Total",16677.0,Million Bushels,2026-02-15
CORN,2024/25,"Supply, Total",16677.0,Million Bushels,2026-03-15
CORN,2024/25,"Supply, Total",16677.0,Million Bushels,2026-04-15
CORN,2024/25,"Supply, Total",16677.0,Million Bushels,2026-05-15
CORN,2024/25,"Supply, Total",16677.0,Million Bushels,2026-06-15
CORN,2024/25,"Supply, Total",16677.0,Million Bushels,2026-07-15
CORN,2024/25,"Use, Total",15350.0,Million Bushels,2025-08-15
CORN,2024/25,"Use, Total",15325.0,Million Bushels,2025-09-15
CORN,2024/25,"Use, Total",15144.0,Million Bushels,2025-11-15
CORN,2024/25,"Use, Total",15145.0,Million Bushels,2025-12-15
CORN,2024/25,"Use, Total",15126.0,Million Bushels,2026-01-15
CORN,2024/25,"Use, Total",15126.0,Million Bushels,2026-02-15
CORN,2024/25,"Use, Total",15126.0,Million Bushels,2026-03-15
CORN,2024/25,"Use, Total",15126.0,Million Bushels,2026-04-15
CORN,2024/25,"Use, Total",15126.0,Million Bushels,2026-05-15
CORN,2024/25,"Use, Total",15126.0,Million Bushels,2026-06-15
CORN,2024/25,"Use, Total",15126.0,Million Bushels,2026-07-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2025-08-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2025-09-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2025-11-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2025-12-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2026-01-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2026-02-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2026-03-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2026-04-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2026-05-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2026-06-15
CORN,2024/25,Yield per Harvested Acre,179.3,Bushels,2026-07-15
CORN,2025/26,Area Harvested,88.7,Million Acres,2025-08-15
CORN,2025/26,Area Harvested,90.0,Million Acres,2025-09-15
CORN,2025/26,Area Harvested,90.0,Million Acres,2025-10-15
CORN,2025/26,Area Harvested,90.0,Million Acres,2025-11-15
CORN,2025/26,Area Harvested,90.0,Million Acres,2025-12-15
CORN,2025/26,Area Harvested,91.3,Million Acres,2026-01-15
CORN,2025/26,Area Harvested,91.3,Million Acres,2026-02-15
CORN,2025/26,Area Harvested,91.3,Million Acres,2026-03-15
CORN,2025/26,Area Harvested,91.3,Million Acres,2026-04-15
CORN,2025/26,Area Harvested,91.3,Million Acres,2026-05-15
CORN,2025/26,Area Harvested,91.3,Million Acres,2026-06-15
CORN,2025/26,Area Harvested,91.3,Million Acres,2026-07-15
CORN,2025/26,Area Planted,97.3,Million Acres,2025-08-15
CORN,2025/26,Area Planted,98.7,Million Acres,2025-09-15
CORN,2025/26,Area Planted,98.7,Million Acres,2025-10-15
CORN,2025/26,Area Planted,98.7,Million Acres,2025-11-15
CORN,2025/26,Area Planted,98.7,Million Acres,2025-12-15
CORN,2025/26,Area Planted,98.8,Million Acres,2026-01-15
CORN,2025/26,Area Planted,98.8,Million Acres,2026-02-15
CORN,2025/26,Area Planted,98.8,Million Acres,2026-03-15
CORN,2025/26,Area Planted,98.8,Million Acres,2026-04-15
CORN,2025/26,Area Planted,98.8,Million Acres,2026-05-15
CORN,2025/26,Area Planted,98.8,Million Acres,2026-06-15
CORN,2025/26,Area Planted,98.8,Million Acres,2026-07-15
CORN,2025/26,Avg. Farm Price ($/bu),4.2,$/bu,2025-07-15
CORN,2025/26,Avg. Farm Price ($/bu),3.9,$/bu,2025-08-15
CORN,2025/26,Avg. Farm Price ($/bu),3.9,$/bu,2025-09-15
CORN,2025/26,Avg. Farm Price ($/bu),3.9,$/bu,2025-10-15
CORN,2025/26,Avg. Farm Price ($/bu),4.0,$/bu,2025-11-15
CORN,2025/26,Avg. Farm Price ($/bu),4.0,$/bu,2025-12-15
CORN,2025/26,Avg. Farm Price ($/bu),4.1,$/bu,2026-01-15
CORN,2025/26,Avg. Farm Price ($/bu),4.1,$/bu,2026-02-15
CORN,2025/26,Avg. Farm Price ($/bu),4.1,$/bu,2026-03-15
CORN,2025/26,Avg. Farm Price ($/bu),4.15,$/bu,2026-04-15
CORN,2025/26,Avg. Farm Price ($/bu),4.15,$/bu,2026-05-15
CORN,2025/26,Avg. Farm Price ($/bu),4.15,$/bu,2026-06-15
CORN,2025/26,Avg. Farm Price ($/bu),4.15,$/bu,2026-07-15
CORN,2025/26,Beginning Stocks,1340.0,Million Bushels,2025-07-15
CORN,2025/26,Beginning Stocks,1305.0,Million Bushels,2025-08-15
CORN,2025/26,Beginning Stocks,1325.0,Million Bushels,2025-09-15
CORN,2025/26,Beginning Stocks,1325.0,Million Bushels,2025-10-15
CORN,2025/26,Beginning Stocks,1532.0,Million Bushels,2025-11-15
CORN,2025/26,Beginning Stocks,1532.0,Million Bushels,2025-12-15
CORN,2025/26,Beginning Stocks,1551.0,Million Bushels,2026-01-15
CORN,2025/26,Beginning Stocks,1551.0,Million Bushels,2026-02-15
CORN,2025/26,Beginning Stocks,1551.0,Million Bushels,2026-03-15
CORN,2025/26,Beginning Stocks,1551.0,Million Bushels,2026-04-15
CORN,2025/26,Beginning Stocks,1551.0,Million Bushels,2026-05-15
CORN,2025/26,Beginning Stocks,1551.0,Million Bushels,2026-06-15
CORN,2025/26,Beginning Stocks,1551.0,Million Bushels,2026-07-15
CORN,2025/26,"Domestic, Total",12735.0,Million Bushels,2025-07-15
CORN,2025/26,"Domestic, Total",13080.0,Million Bushels,2025-08-15
CORN,2025/26,"Domestic, Total",13080.0,Million Bushels,2025-09-15
CORN,2025/26,"Domestic, Total",13080.0,Million Bushels,2025-10-15
CORN,2025/26,"Domestic, Total",13080.0,Million Bushels,2025-11-15
CORN,2025/26,"Domestic, Total",13080.0,Million Bushels,2025-12-15
CORN,2025/26,"Domestic, Total",13170.0,Million Bushels,2026-01-15
CORN,2025/26,"Domestic, Total",13170.0,Million Bushels,2026-02-15
CORN,2025/26,"Domestic, Total",13170.0,Million Bushels,2026-03-15
CORN,2025/26,"Domestic, Total",13170.0,Million Bushels,2026-04-15
CORN,2025/26,"Domestic, Total",13155.0,Million Bushels,2026-05-15
CORN,2025/26,"Domestic, Total",13130.0,Million Bushels,2026-06-15
CORN,2025/26,"Domestic, Total",13255.0,Million Bushels,2026-07-15
CORN,2025/26,Ending Stocks,1660.0,Million Bushels,2025-07-15
CORN,2025/26,Ending Stocks,2117.0,Million Bushels,2025-08-15
CORN,2025/26,Ending Stocks,2110.0,Million Bushels,2025-09-15
CORN,2025/26,Ending Stocks,2110.0,Million Bushels,2025-10-15
CORN,2025/26,Ending Stocks,2154.0,Million Bushels,2025-11-15
CORN,2025/26,Ending Stocks,2029.0,Million Bushels,2025-12-15
CORN,2025/26,Ending Stocks,2227.0,Million Bushels,2026-01-15
CORN,2025/26,Ending Stocks,2127.0,Million Bushels,2026-02-15
CORN,2025/26,Ending Stocks,2127.0,Million Bushels,2026-03-15
CORN,2025/26,Ending Stocks,2127.0,Million Bushels,2026-04-15
CORN,2025/26,Ending Stocks,2142.0,Million Bushels,2026-05-15
CORN,2025/26,Ending Stocks,2145.0,Million Bushels,2026-06-15
CORN,2025/26,Ending Stocks,2020.0,Million Bushels,2026-07-15
CORN,2025/26,Ethanol & by-products,5500.0,Million Bushels,2025-07-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2025-08-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2025-09-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2025-10-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2025-11-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2025-12-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2026-01-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2026-02-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2026-03-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2026-04-15
CORN,2025/26,Ethanol & by-products,5600.0,Million Bushels,2026-05-15
CORN,2025/26,Ethanol & by-products,5575.0,Million Bushels,2026-06-15
CORN,2025/26,Ethanol & by-products,5550.0,Million Bushels,2026-07-15
CORN,2025/26,Exports,2675.0,Million Bushels,2025-07-15
CORN,2025/26,Exports,2875.0,Million Bushels,2025-08-15
CORN,2025/26,Exports,2975.0,Million Bushels,2025-09-15
CORN,2025/26,Exports,2975.0,Million Bushels,2025-10-15
CORN,2025/26,Exports,3075.0,Million Bushels,2025-11-15
CORN,2025/26,Exports,3200.0,Million Bushels,2025-12-15
CORN,2025/26,Exports,3200.0,Million Bushels,2026-01-15
CORN,2025/26,Exports,3300.0,Million Bushels,2026-02-15
CORN,2025/26,Exports,3300.0,Million Bushels,2026-03-15
CORN,2025/26,Exports,3300.0,Million Bushels,2026-04-15
CORN,2025/26,Exports,3300.0,Million Bushels,2026-05-15
CORN,2025/26,Exports,3325.0,Million Bushels,2026-06-15
CORN,2025/26,Exports,3325.0,Million Bushels,2026-07-15
CORN,2025/26,Feed and Residual,5850.0,Million Bushels,2025-07-15
CORN,2025/26,Feed and Residual,6100.0,Million Bushels,2025-08-15
CORN,2025/26,Feed and Residual,6100.0,Million Bushels,2025-09-15
CORN,2025/26,Feed and Residual,6100.0,Million Bushels,2025-10-15
CORN,2025/26,Feed and Residual,6100.0,Million Bushels,2025-11-15
